Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
6/19/24,1015,1015,1000,1015.75,9,49,49030
6/18/24,1001,1001,1000.25,1015.75,3,15,15007.5
6/14/24,1000,1000,1000,1015.75,1,29,29000
6/13/24,1020,1020,1000,1015.75,4,57,57034
6/12/24,1015,1023.5,1000,1015.75,12,164,166577.5
6/11/24,1000,1013.75,995,999.25,7,111,110926.25
6/11/24,1000,1013.75,995,999.25,7,111,110926.25
6/10/24,1006,1006,998,999.5,5,14,14026.25
6/7/24,1005,1014.5,1005,999.5,3,6,6075.5
6/6/24,1017,1017,1000,999.5,5,24,24017
6/5/24,1018.75,1018.75,1017.5,999.5,3,29,29508.75
6/4/24,1019,1019,1019,999.5,1,15,15285
6/3/24,1000,1000,993,999.5,4,16,15924.75
5/31/24,995,1000,995,999.5,5,125,124929
5/30/24,995,995,992,1000,9,58,57559
5/28/24,992.5,992.5,992.5,1000,4,15,14887.5
5/27/24,1016,1016,1000,1000,2,6,6016
5/21/24,1000,1000,1000,1000,1,5,5000
5/20/24,1000,1000,999.75,1000,4,23,22999.75
5/17/24,1000,1000,1000,1000,8,297,297000
5/16/24,999,1000,999,1000,3,9,8999
5/15/24,999.25,999.25,999.25,1000,4,17,16987.25
5/14/24,1000,1000,999.5,1000,3,12,11994.5
5/13/24,999.75,1000,999.75,1000,5,353,352956
5/10/24,1008.75,1008.75,1000,987.5,5,9,9008.75
5/9/24,1010,1010,1009,987.5,2,4,4037
5/8/24,988,988,988,987.5,3,12,11856
5/7/24,1010,1010,1009,987.5,2,19,19189
5/6/24,1010,1010,990,987.5,3,3,3010
5/3/24,988.25,988.25,986.25,987.5,13,275,271567.5
5/2/24,987.5,1010,987.5,988,3,8,7957.5
4/30/24,988,988,988,988,18,200,197600
4/26/24,1018.5,1018.5,991,981,3,4,4019
4/25/24,1019.75,1019.75,1019,981,5,13,13247.75
4/24/24,1000,1000,1000,981,1,2,2000
4/22/24,986.5,986.5,985.25,981,5,50,49271.25
4/18/24,985,985,985,981,2,6,5910
4/17/24,981.75,1019.75,981.75,981,2,2,2001.5
4/16/24,984,984,982,981,2,17,16714
4/9/24,981,981.25,981,981,7,171,167752.25
4/8/24,990,990,971,990,11,559,552810
4/5/24,995,995,990,990,9,643,636610.5
4/4/24,1020,1020,995,1007.75,7,134,134859.5
4/3/24,1000,1022,994,995.25,14,65,64863
4/2/24,1023.75,1023.75,1022.5,995.25,5,12,12277.25
4/1/24,1023.75,1024,1023.75,995.25,5,30,30713.5
3/28/24,1024.75,1024.75,1024.75,995.25,1,4,4099
3/27/24,1000,1000,997,995.25,2,7,6985
3/26/24,996,996,995,995.25,4,58,57721
3/22/24,995,995,995,995.25,3,5,4975
3/21/24,1028,1028,1028,995.25,1,1,1028
3/20/24,1023.5,1033.75,990.25,995.25,10,59,60292.25
3/18/24,1000,1023.25,990,995.25,8,173,172196.25
3/15/24,986,1024,985,1011,6,33,32920.75
3/14/24,1024.5,1024.75,986,1011,15,109,110204.25
3/13/24,990.75,1000,985,991,13,92,90783.75
3/12/24,1024.25,1024.75,991,991,14,179,179028.75
3/11/24,1024.5,1024.5,1024.5,984,1,1,1024.5
3/5/24,1009.75,1009.75,1009.75,984,1,2,2019.5
3/4/24,980,980,980,984,4,28,27440
3/1/24,985,985,980,984,6,32,31390
2/29/24,1028,1028,1010,984,3,37,37388
2/28/24,984,985,980,984,18,221,217450
2/27/24,990,995,980,984,24,9260,9157720.5
2/26/24,1014,1014,985,999.75,7,57,56244.5
2/21/24,1000,1000,999.75,999.75,7,100,99975.75
2/20/24,999.75,999.75,999.75,999.75,6,141,140964.75
2/19/24,1013.75,1013.75,1000,1000.5,16,175,175075.25
2/16/24,1019,1019,1014,1014,2,2955,2996375
2/15/24,1020,1020,1001,999.75,5,18,18221
2/14/24,1000,1000,999.75,999.75,6,17,16998.5
2/13/24,1000,1000,1000,999.75,2,4,4000
2/12/24,1031,1031,1000,999.75,4,6,6101
2/8/24,999,1000,999,999.75,4,196,195973
2/7/24,1000,1000,985,985.25,2,11,10850
2/6/24,1000,1000,980,985.25,4,16,15800
2/2/24,993,993,991,985.25,3,40,39681.25
1/30/24,980,997,980,985.25,4,123,121067
1/29/24,975,975,970,980,6,12,11671.75
1/26/24,990,990,975,980,5,20,19650
